movie,producer,polarity,subjectivity
Howls Moving Castle,Ghibli,0.09960236652236655,0.5748931948051951
Spirited Away,Ghibli,0.0645050573764859,0.5207682058682055
Princess Mononoke,Ghibli,0.04795650937556672,0.5117107698767527
From Up on Poppy Hill,Ghibli,0.1663939693829672,0.5038054488298984
The Secret World of Arietty,Ghibli,0.09769789085826822,0.5518560492617097
Ponyo,Ghibli,0.12812959816522,0.557466850219441
Whisper of the Heart,Ghibli,0.11329962412702631,0.5670909942173282
Porco Rosso,Ghibli,0.10571671275584323,0.5363885973929444
Kiki's Delivery Service,Ghibli,0.1688646611106832,0.5712343361792553
My Neighbor Totoro,Ghibli,0.1401022994254042,0.5839802225452043
Castle in the Sky,Ghibli,0.05879754821535643,0.5688833211435953
The Wind Rises,Ghibli,0.1738004936343546,0.5547269827570458
Captain America Civil War,Marvel,0.091646963291538,0.5110240461689293
Doctor Strange,Marvel,0.10629276107418194,0.47256974506974575
Guardians of the Galaxy Vol 2,Marvel,0.07356272005772004,0.565305685980686
Spider-Man Homecoming,Marvel,0.13309859238938054,0.5498224776547425
Thor Ragnarok,Marvel,0.08951017991471277,0.5530986531783236
Black Panther,Marvel,0.14914627276581735,0.49275469839037256
Avengers Infinity War,Marvel,0.08798707875542736,0.525574148922773
Ant-Man and the Wasp,Marvel,0.0700593429175091,0.5317271104412936
Captain Marvel,Marvel,0.1169652423028158,0.5110854632429974
Spider-Man Far From Home,Marvel,0.1657014506031091,0.5404586856008664
Avengers Endgame,Marvel,0.07641201870622594,0.5015979887321356
